No,NIM,Nama,Program_Studi,Semester,Tahun_Masuk,IPK,Kehadiran,Nilai_Tugas,Nilai_UTS,Nilai_UAS,Nilai_Akhir,Jam_Belajar_Mingguan,Jumlah_Terlambat,Cluster,Kategori,Kelompok_Simulasi
13,2022MJ0013,Dewi Gunawan,Manajemen,7,2022,1.92,64.34,60.93,58.76,45.12,55.08,7.14,8,2,Prestasi Akademik Relatif Rendah,Rendah
14,2021IK0014,Nabila Santoso,Ilmu Komunikasi,3,2021,3.49,92.83,89.68,83.01,96.72,90.46,20.03,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
15,2022TI0015,Yusuf Fauzi,Teknik Informatika,1,2022,3.9,84.86,80.44,94.39,78.59,84.42,10.71,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
16,2021MJ0016,Ahmad Kurniawan,Manajemen,1,2021,1.95,56.59,50.96,74.0,59.68,61.49,7.22,9,2,Prestasi Akademik Relatif Rendah,Rendah
17,2024TI0017,Aulia Safitri,Teknik Informatika,8,2024,1.35,50.6,43.52,34.75,46.24,42.55,8.31,10,2,Prestasi Akademik Relatif Rendah,Rendah
18,2024TI0018,Yusuf Amalia,Teknik Informatika,6,2024,1.88,67.72,63.83,49.81,62.04,59.38,6.42,8,2,Prestasi Akademik Relatif Rendah,Rendah
19,2024MJ0019,Rizky Rahmawati,Manajemen,8,2024,2.87,80.29,67.45,71.21,76.56,73.05,10.85,8,0,Prestasi Akademik Relatif Sedang,Sedang
20,2024AK0020,Nia Santoso,Akuntansi,1,2024,2.72,85.31,73.48,67.7,57.54,67.35,8.49,2,0,Prestasi Akademik Relatif Sedang,Sedang
21,2022MJ0021,Lukman Maulana,Manajemen,4,2022,2.65,80.11,67.92,65.97,78.2,72.15,8.88,8,0,Prestasi Akademik Relatif Sedang,Sedang
22,2021SI0022,Hadi Aprilia,Sistem Informasi,5,2021,3.05,74.87,72.65,70.08,65.31,69.53,10.99,6,0,Prestasi Akademik Relatif Sedang,Sedang
23,2021AK0023,Farhan Safitri,Akuntansi,6,2021,3.81,89.13,88.24,79.63,86.16,85.02,13.6,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
24,2023IK0024,Arif Kurniawan,Ilmu Komunikasi,1,2023,2.31,63.9,78.57,71.48,74.0,73.38,5.02,5,0,Prestasi Akademik Relatif Sedang,Sedang
25,2024TI0025,Budi Sari,Teknik Informatika,3,2024,2.89,74.93,70.24,53.97,74.06,67.16,11.54,2,0,Prestasi Akademik Relatif Sedang,Sedang
26,2024AK0026,Zahra Lestari,Akuntansi,7,2024,2.86,63.41,77.3,77.03,69.99,73.27,3.0,3,0,Prestasi Akademik Relatif Sedang,Sedang
27,2024TI0027,Citra Fauzi,Teknik Informatika,4,2024,2.76,69.74,78.63,65.6,75.23,72.64,10.7,9,0,Prestasi Akademik Relatif Sedang,Sedang
28,2021TI0028,Laras Anggraini,Teknik Informatika,8,2021,3.15,72.68,69.07,70.82,59.5,66.61,9.69,7,0,Prestasi Akademik Relatif Sedang,Sedang
29,2024MJ0029,Zahra Kusuma,Manajemen,5,2024,3.53,94.71,74.73,76.48,92.14,83.34,17.08,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
30,2024MJ0030,Galih Gunawan,Manajemen,2,2024,3.35,76.5,67.41,74.42,75.51,73.26,7.42,3,0,Prestasi Akademik Relatif Sedang,Sedang
31,2022TI0031,Dimas Saputra,Teknik Informatika,8,2022,3.42,95.58,85.35,82.23,89.94,87.04,10.83,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
32,2024TI0032,Sinta Hermawan,Teknik Informatika,8,2024,2.72,75.13,71.22,67.98,79.33,73.48,3.8,7,0,Prestasi Akademik Relatif Sedang,Sedang
33,2024TI0033,Rafi Anggraini,Teknik Informatika,2,2024,3.35,97.64,93.47,90.72,75.4,86.74,19.32,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
34,2024SI0034,Bayu Ramadhan,Sistem Informasi,6,2024,2.99,79.24,75.04,82.79,81.81,80.15,3.0,4,0,Prestasi Akademik Relatif Sedang,Sedang
35,2024TI0035,Budi Utami,Teknik Informatika,4,2024,2.87,86.74,65.39,73.69,64.67,69.77,6.98,8,0,Prestasi Akademik Relatif Sedang,Sedang
36,2021TI0036,Eka Anggraini,Teknik Informatika,3,2021,3.89,94.01,84.91,88.03,76.13,83.68,20.73,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
37,2022TI0037,Arif Amalia,Teknik Informatika,2,2022,3.45,94.47,87.54,88.56,85.94,87.98,18.05,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
38,2023IK0038,Tiara Pratama,Ilmu Komunikasi,6,2023,2.56,55.33,75.0,63.96,65.74,66.48,5.07,9,2,Prestasi Akademik Relatif Rendah,Rendah
39,2021IK0039,Citra Gunawan,Ilmu Komunikasi,5,2021,3.8,91.91,80.53,89.77,92.45,88.61,18.62,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
40,2024AK0040,Maya Kurniawan,Akuntansi,7,2024,3.26,92.18,85.5,80.92,72.0,80.07,11.01,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
41,2024TI0041,Gita Maulana,Teknik Informatika,4,2024,3.3,98.19,85.14,86.03,100.0,91.91,22.07,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
42,2022SI0042,Gita Hidayat,Sistem Informasi,6,2022,2.12,59.44,69.74,53.97,76.0,66.17,5.23,15,2,Prestasi Akademik Relatif Rendah,Rendah
43,2022TI0043,Ilham Rahmawati,Teknik Informatika,6,2022,2.67,72.02,76.22,78.91,72.32,75.24,5.14,2,0,Prestasi Akademik Relatif Sedang,Sedang
44,2021MJ0044,Lukman Gunawan,Manajemen,5,2021,3.75,90.93,72.44,82.66,84.86,81.7,24.38,0,1,Prestasi Akademik Relatif Tinggi,Tinggi
45,2024AK0045,Wahyu Anggraini,Akuntansi,2,2024,3.63,93.82,86.69,86.31,91.44,88.95,12.76,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
46,2022AK0046,Ahmad Saputra,Akuntansi,7,2022,3.44,90.89,82.26,76.5,83.52,81.84,11.58,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
47,2023TI0047,Reza Wulandari,Teknik Informatika,6,2023,1.8,57.9,53.0,66.93,59.97,60.11,4.47,11,2,Prestasi Akademik Relatif Rendah,Rendah
48,2021AK0048,Mega Febriani,Akuntansi,8,2021,3.57,91.34,89.29,90.27,72.02,83.74,9.27,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
49,2021AK0049,Galih Hidayat,Akuntansi,8,2021,2.77,64.46,64.12,52.0,70.13,62.62,8.43,4,0,Prestasi Akademik Relatif Sedang,Sedang
50,2022SI0050,Arif Kusuma,Sistem Informasi,7,2022,3.17,94.09,89.33,86.17,92.87,90.1,11.34,4,1,Prestasi Akademik Relatif Tinggi,Tinggi
51,2023TI0051,Fajar Rahmawati,Teknik Informatika,2,2023,2.43,71.49,83.61,68.91,78.72,76.28,9.71,5,0,Prestasi Akademik Relatif Sedang,Sedang
52,2023IK0052,Arif Rahmawati,Ilmu Komunikasi,6,2023,3.41,93.76,88.37,73.03,80.93,81.7,13.67,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
53,2021IK0053,Yoga Utami,Ilmu Komunikasi,7,2021,2.67,83.4,78.66,69.83,68.86,73.06,9.42,3,0,Prestasi Akademik Relatif Sedang,Sedang
54,2024IK0054,Rendi Fauzi,Ilmu Komunikasi,4,2024,3.34,91.81,90.38,72.89,86.18,83.8,15.12,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
55,2023SI0055,Citra Maulana,Sistem Informasi,4,2023,1.77,63.26,66.23,35.07,60.11,54.44,7.97,10,2,Prestasi Akademik Relatif Rendah,Rendah
56,2024AK0056,Ari Rahmawati,Akuntansi,7,2024,2.44,61.59,79.6,63.12,68.36,68.92,4.84,2,0,Prestasi Akademik Relatif Sedang,Sedang
57,2023TI0057,Ahmad Gunawan,Teknik Informatika,6,2023,2.94,81.17,75.25,72.91,84.62,78.42,5.8,5,0,Prestasi Akademik Relatif Sedang,Sedang
58,2021IK0058,Putri Fauzi,Ilmu Komunikasi,4,2021,3.49,97.79,89.05,85.37,84.48,87.22,14.46,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
59,2023MJ0059,Farhan Saputri,Manajemen,3,2023,3.56,87.61,89.19,100.0,73.56,86.81,17.3,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
60,2021TI0060,Arif Setiawan,Teknik Informatika,7,2021,3.14,79.35,80.92,52.25,84.72,73.49,10.13,7,0,Prestasi Akademik Relatif Sedang,Sedang
61,2023AK0061,Reza Hidayat,Akuntansi,3,2023,2.89,77.88,74.98,79.68,57.88,70.69,11.92,5,0,Prestasi Akademik Relatif Sedang,Sedang
62,2023TI0062,Citra Kurniawan,Teknik Informatika,8,2023,1.43,68.84,46.06,55.48,55.93,54.62,7.92,9,2,Prestasi Akademik Relatif Rendah,Rendah
63,2024AK0063,Eka Kurniawan,Akuntansi,7,2024,2.53,67.83,54.91,52.87,42.9,51.39,5.97,5,2,Prestasi Akademik Relatif Rendah,Rendah
64,2023TI0064,Eka Firmansyah,Teknik Informatika,7,2023,1.82,62.08,72.39,65.72,50.73,61.78,5.56,10,2,Prestasi Akademik Relatif Rendah,Rendah
65,2021IK0065,Sinta Aprilia,Ilmu Komunikasi,3,2021,2.83,66.81,73.95,74.6,70.18,72.11,4.15,7,0,Prestasi Akademik Relatif Sedang,Sedang
66,2023SI0066,Yoga Wijaya,Sistem Informasi,8,2023,3.28,85.87,82.77,92.6,81.52,85.59,18.56,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
67,2024IK0067,Intan Amalia,Ilmu Komunikasi,1,2024,3.07,74.26,61.99,59.94,67.74,64.62,5.25,6,0,Prestasi Akademik Relatif Sedang,Sedang
68,2024MJ0068,Oki Sari,Manajemen,7,2024,3.59,85.36,83.04,84.99,72.0,79.99,16.95,4,1,Prestasi Akademik Relatif Tinggi,Tinggi
69,2021SI0069,Hadi Hidayat,Sistem Informasi,4,2021,3.11,76.85,68.93,52.79,77.13,67.75,8.66,3,0,Prestasi Akademik Relatif Sedang,Sedang
70,2024TI0070,Niken Saputra,Teknik Informatika,6,2024,3.66,84.31,92.28,74.22,81.36,82.24,23.69,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
71,2021IK0071,Ulfa Utami,Ilmu Komunikasi,2,2021,1.99,63.66,58.3,54.18,56.72,57.05,4.46,6,2,Prestasi Akademik Relatif Rendah,Rendah
72,2022MJ0072,Ilham Saputri,Manajemen,6,2022,2.8,72.26,73.78,67.89,83.82,75.38,10.52,2,0,Prestasi Akademik Relatif Sedang,Sedang
73,2024SI0073,Rizky Lestari,Sistem Informasi,6,2024,1.98,65.82,54.07,63.04,50.03,56.52,3.45,8,2,Prestasi Akademik Relatif Rendah,Rendah
74,2023IK0074,Dinda Maulana,Ilmu Komunikasi,2,2023,3.28,92.0,65.78,71.56,62.59,69.02,6.67,4,0,Prestasi Akademik Relatif Sedang,Sedang
75,2023SI0075,Galih Sari,Sistem Informasi,1,2023,2.81,69.48,78.89,63.66,90.0,77.27,7.65,5,0,Prestasi Akademik Relatif Sedang,Sedang
76,2022IK0076,Mega Kusuma,Ilmu Komunikasi,5,2022,2.92,68.57,74.47,62.03,83.7,73.38,11.43,5,0,Prestasi Akademik Relatif Sedang,Sedang
77,2023MJ0077,Yusuf Lestari,Manajemen,4,2023,2.36,73.92,66.87,40.67,59.71,57.21,7.54,5,0,Prestasi Akademik Relatif Sedang,Rendah
78,2021MJ0078,Tania Febriani,Manajemen,6,2021,2.39,75.72,70.71,69.82,67.49,69.82,7.67,5,0,Prestasi Akademik Relatif Sedang,Sedang
79,2021MJ0079,Ari Sari,Manajemen,3,2021,2.75,78.65,59.55,74.82,72.0,70.4,9.12,7,0,Prestasi Akademik Relatif Sedang,Sedang
80,2024SI0080,Ari Purnama,Sistem Informasi,7,2024,3.55,91.85,83.23,88.65,92.53,88.97,17.94,1,1,Prestasi Akademik Relatif Tinggi,Tinggi
81,2023SI0081,Rafi Wulandari,Sistem Informasi,7,2023,2.52,68.8,50.96,61.06,64.74,60.6,8.9,7,0,Prestasi Akademik Relatif Sedang,Rendah
82,2024IK0082,Eka Permana,Ilmu Komunikasi,5,2024,3.35,93.07,89.47,84.62,87.54,87.7,14.97,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
83,2024AK0083,Yusuf Febriani,Akuntansi,3,2024,3.55,95.39,77.02,74.83,72.0,76.44,16.13,0,1,Prestasi Akademik Relatif Tinggi,Tinggi
84,2021TI0084,Eka Amalia,Teknik Informatika,8,2021,3.59,89.5,90.03,87.33,81.16,86.06,15.33,3,1,Prestasi Akademik Relatif Tinggi,Tinggi
85,2021SI0085,Dinda Amalia,Sistem Informasi,2,2021,3.01,70.41,82.89,79.19,74.32,77.53,9.47,5,0,Prestasi Akademik Relatif Sedang,Sedang
86,2024MJ0086,Intan Nugroho,Manajemen,3,2024,3.71,88.19,82.3,75.64,78.55,79.58,8.69,2,1,Prestasi Akademik Relatif Tinggi,Tinggi
87,2024MJ0087,Gita Pratama,Manajemen,4,2024,2.44,83.07,82.95,67.35,72.81,74.73,3.0,6,0,Prestasi Akademik Relatif Sedang,Sedang
88,2023SI0088,Zahra Wulandari,Sistem Informasi,6,2023,2.31,72.22,51.73,44.77,37.6,46.74,4.33,8,2,Prestasi Akademik Relatif Rendah,Rendah
89,2023AK0089,Farhan Gunawan,Akuntansi,4,2023,2.74,70.47,69.12,79.57,76.82,75.09,8.61,6,0,Prestasi Akademik Relatif Sedang,Sedang
90,2024MJ0090,Rizky Nugroho,Manajemen,5,2024,2.73,81.05,67.54,75.08,76.41,74.26,3.0,7,0,Prestasi Akademik Relatif Sedang,Sedang
91,2024TI0091,Fitri Hidayat,Teknik Informatika,5,2024,3.11,75.78,62.74,62.25,80.22,70.01,3.24,7,0,Prestasi Akademik Relatif Sedang,Sedang
92,2023AK0092,Mega Wulandari,Akuntansi,5,2023,1.84,70.8,63.86,39.53,53.37,53.58,2.84,14,2,Prestasi Akademik Relatif Rendah,Rendah
93,2021SI0093,Wahyu Utami,Sistem Informasi,2,2021,2.14,52.54,52.58,47.79,45.53,48.67,5.24,6,2,Prestasi Akademik Relatif Rendah,Rendah
94,2024AK0094,Ulfa Kusuma,Akuntansi,5,2024,3.41,86.45,80.77,98.01,86.39,88.48,16.98,0,1,Prestasi Akademik Relatif Tinggi,Tinggi
95,2021TI0095,Eka Gunawan,Teknik Informatika,7,2021,2.59,84.36,64.58,68.71,67.31,68.75,9.49,4,0,Prestasi Akademik Relatif Sedang,Sedang
96,2021SI0096,Galih Aprilia,Sistem Informasi,3,2021,2.97,79.67,72.38,67.56,78.37,73.76,8.29,4,0,Prestasi Akademik Relatif Sedang,Sedang
97,2022TI0097,Galih Santoso,Teknik Informatika,1,2022,2.51,83.39,59.75,72.74,84.6,74.71,10.47,5,0,Prestasi Akademik Relatif Sedang,Sedang
98,2024AK0098,Maya Permana,Akuntansi,1,2024,2.65,75.97,74.39,64.86,65.55,68.6,4.92,6,0,Prestasi Akademik Relatif Sedang,Sedang
99,2024SI0099,Wahyu Purnama,Sistem Informasi,8,2024,3.72,91.44,88.35,86.13,85.36,86.95,13.88,4,1,Prestasi Akademik Relatif Tinggi,Tinggi
100,2021AK0100,Maya Hakim,Akuntansi,3,2021,2.91,68.17,80.86,70.25,63.11,70.19,12.57,6,0,Prestasi Akademik Relatif Sedang,Sedang
